case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,shift_semitones,algorithm_disagreement,mean_composite_stress,min_composite_stress,max_composite_stress,algorithm_spread
two_oscillators_20hz,two_oscillators,440 + 460,20.0,Hz separation,"{""frequencies_hz"": ""440,460"", ""separation_hz"": 20.0}",12,0.03309141920122791,0.30563273947460057,0.08693594579548986,0.5084790073940764,0.4215430615985865
two_oscillators_40hz,two_oscillators,440 + 480,40.0,Hz separation,"{""frequencies_hz"": ""440,480"", ""separation_hz"": 40.0}",-12,0.04699807005938596,0.3371067937535143,0.08821847359935132,0.6048323599643944,0.5166138863650431
two_oscillators_40hz,two_oscillators,440 + 480,40.0,Hz separation,"{""frequencies_hz"": ""440,480"", ""separation_hz"": 40.0}",3,0.030483016872866427,0.3017813348267084,0.028227807450079745,0.5053353971521192,0.4771075897020394
two_oscillators_40hz,two_oscillators,440 + 480,40.0,Hz separation,"{""frequencies_hz"": ""440,480"", ""separation_hz"": 40.0}",7,0.028780699182509337,0.36125969806123376,0.08620163509878671,0.5355852922278164,0.44938365712902967
two_oscillators_40hz,two_oscillators,440 + 480,40.0,Hz separation,"{""frequencies_hz"": ""440,480"", ""separation_hz"": 40.0}",12,0.02239425441383206,0.3203802904143632,0.156478117292392,0.482921294515999,0.32644317722360705
vibrato_depth_00st,vibrato_depth,0 semitones,0.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 0.0, ""rate_hz"": 5.5}",-12,0.06673817656759874,0.35634712773651656,0.07497311810608141,0.681883637992192,0.6069105198861106
vibrato_depth_00st,vibrato_depth,0 semitones,0.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 0.0, ""rate_hz"": 5.5}",3,0.030696434422661092,0.3015147706577641,0.024230756412885957,0.48985253652556576,0.4656217801126798
vibrato_depth_00st,vibrato_depth,0 semitones,0.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 0.0, ""rate_hz"": 5.5}",7,0.050867970703052275,0.31236921509626603,0.07778195849580921,0.5898790508828705,0.5120970923870614
vibrato_depth_00st,vibrato_depth,0 semitones,0.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 0.0, ""rate_hz"": 5.5}",12,0.030085582441278867,0.28243172700423935,0.0747063729414926,0.4711334737546455,0.3964271008131529
vibrato_depth_01st,vibrato_depth,1 semitones,1.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 1.0, ""rate_hz"": 5.5}",-12,0.06982288007518168,0.37877965531716695,0.08045848846330422,0.7095249969053831,0.6290665084420788
vibrato_depth_01st,vibrato_depth,1 semitones,1.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 1.0, ""rate_hz"": 5.5}",3,0.031121815017221624,0.3226756386041181,0.03652961343165731,0.4879041553731627,0.4513745419415054
vibrato_depth_01st,vibrato_depth,1 semitones,1.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 1.0, ""rate_hz"": 5.5}",7,0.0327742581645413,0.28535780035176594,0.10123318172685129,0.5028976119651265,0.4016644302382752
vibrato_depth_01st,vibrato_depth,1 semitones,1.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 1.0, ""rate_hz"": 5.5}",12,0.02195206433710443,0.3342948165049239,0.18124674957152934,0.49876921878168146,0.31752246921015215
vibrato_depth_02st,vibrato_depth,2 semitones,2.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 2.0, ""rate_hz"": 5.5}",-12,0.029361747845244694,0.30622184190877666,0.09725076183870185,0.5132276621126285,0.41597690027392664
vibrato_depth_02st,vibrato_depth,2 semitones,2.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 2.0, ""rate_hz"": 5.5}",3,0.035238284869338055,0.34008467308792945,0.03563081995558888,0.5043496547058899,0.468718834750301
vibrato_depth_02st,vibrato_depth,2 semitones,2.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 2.0, ""rate_hz"": 5.5}",7,0.024616080337602243,0.36862388699117266,0.12021927243693076,0.5485638173902889,0.42834454495335816
vibrato_depth_02st,vibrato_depth,2 semitones,2.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 2.0, ""rate_hz"": 5.5}",12,0.026147868228903925,0.36597884104365414,0.20142530700454497,0.5534439570086533,0.35201865000410837
vibrato_depth_04st,vibrato_depth,4 semitones,4.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 4.0, ""rate_hz"": 5.5}",-12,0.04047857969159243,0.3635600767946743,0.11692982263037512,0.5630217142519621,0.446091891621587
vibrato_depth_04st,vibrato_depth,4 semitones,4.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 4.0, ""rate_hz"": 5.5}",3,0.045209584096685476,0.3651088120089334,0.03168463939436186,0.5994043188404151,0.5677196794460533
vibrato_depth_04st,vibrato_depth,4 semitones,4.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 4.0, ""rate_hz"": 5.5}",7,0.04582115744229456,0.3322630822041518,0.1076192661139705,0.587484528323981,0.4798652622100105
vibrato_depth_04st,vibrato_depth,4 semitones,4.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 4.0, ""rate_hz"": 5.5}",12,0.018783124654651227,0.37602246104695863,0.23513299764885795,0.5268741507066488,0.2917411530577908
vibrato_depth_08st,vibrato_depth,8 semitones,8.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 8.0, ""rate_hz"": 5.5}",-12,0.05373365511492295,0.3989429822164069,0.1293751108153163,0.728426352094702,0.5990512412793857
vibrato_depth_08st,vibrato_depth,8 semitones,8.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 8.0, ""rate_hz"": 5.5}",3,0.04401417024810517,0.3446433834040151,0.03836366033070276,0.6205804325393012,0.5822167722085985
vibrato_depth_08st,vibrato_depth,8 semitones,8.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 8.0, ""rate_hz"": 5.5}",7,0.0326577894890228,0.29480339806250455,0.09617128938576967,0.49521830554924745,0.39904701616347776
vibrato_depth_08st,vibrato_depth,8 semitones,8.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 8.0, ""rate_hz"": 5.5}",12,0.019387358193935052,0.4123408559813243,0.263673020545649,0.5720663406594909,0.3083933201138419
vibrato_depth_12st,vibrato_depth,12 semitones,12.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 12.0, ""rate_hz"": 5.5}",-12,0.05578384067064782,0.43118983043095227,0.13282051100004755,0.7301562253540316,0.597335714353984
vibrato_depth_12st,vibrato_depth,12 semitones,12.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 12.0, ""rate_hz"": 5.5}",3,0.01892429600613916,0.2740171959652716,0.051293824980404225,0.4156452147878204,0.36435138980741616
vibrato_depth_12st,vibrato_depth,12 semitones,12.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 12.0, ""rate_hz"": 5.5}",7,0.031112007740048693,0.39271311024704497,0.14799236401134389,0.6140137080610709,0.46602134404972706
vibrato_depth_12st,vibrato_depth,12 semitones,12.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 12.0, ""rate_hz"": 5.5}",12,0.01782175623569892,0.4030014596528755,0.2569929197031949,0.5408862801313011,0.28389336042810626
