signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,25.86748940610398,1.1959340922804769,798.6859131017852,0.031038816801470717,0.468920709813367,0.24869536827799865,0.24955163163094543
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.0962851729375154,0.3958872213021121,1432.0490562917569,8.813672015477721e-05,0.0851065464990985,0.44672243925239696,0.17730570749055008
noise,white_noise,noise / white_noise,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.2389966156403345,0.8116528431572739,263.1478947289417,0.0002595301935475917,0.28456577829639507,0.08125426231203528,0.12202652360065931
noise,white_noise,noise / white_noise,wsola,WSOLA,local waveform-similarity overlap-add,3,106.94711209245864,1.772030281651478,298.2722438649569,0.1284137566829989,0.7452968634274326,0.09223622748331929,0.3219822825312503
noise,white_noise,noise / white_noise,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,78.06201569833917,1.821990345789792,260.4417317273868,0.09372335690486953,0.7692646844538744,0.08040815445347228,0.3144653986040721
noise,white_noise,noise / white_noise,psola,PSOLA,local pitch-synchronous overlap-add,3,0.2234311090619798,1.0583621450991745,841.9573540900494,0.00024083634400717065,0.4029219993398975,0.26222459998003556,0.22179581188798006
noise,white_noise,noise / white_noise,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.2409509169124599,0.8177423191058084,73.52350497450597,0.000261877268713688,0.2874871410327445,0.021966375272615954,0.10323846452469138
noise,white_noise,noise / white_noise,wsola,WSOLA,local waveform-similarity overlap-add,7,69.69377897834889,1.651872086605798,126.05577358168884,0.08367327871598093,0.6876522193824997,0.03839109369169915,0.26990553059672656
noise,white_noise,noise / white_noise,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,72.81046634722712,1.807183788055468,63.51416574571867,0.08741635539935469,0.7621613924162287,0.01883685921034112,0.2894715356753082
noise,white_noise,noise / white_noise,psola,PSOLA,local pitch-synchronous overlap-add,7,0.2174300192334217,1.2627178860723645,1766.5388077182392,0.0002336291599833871,0.5009595401206967,0.5513038732340604,0.3508323475049135
