signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference
modulated,vibrato_tone,modulated / vibrato_tone,wsola,WSOLA,local waveform-similarity overlap-add,12,127.26509259556666,1.9163633792078223,430.62030748745894
noise,pink_noise,noise / pink_noise,wsola,WSOLA,local waveform-similarity overlap-add,-12,160.71811483941383,1.8166999208518875,1673.3053725419386
noise,pink_noise,noise / pink_noise,wsola,WSOLA,local waveform-similarity overlap-add,3,112.92009756132279,1.8452399198269678,551.0948866888248
noise,pink_noise,noise / pink_noise,wsola,WSOLA,local waveform-similarity overlap-add,7,60.38596655924192,1.7116517715136834,350.91057994671263
noise,pink_noise,noise / pink_noise,wsola,WSOLA,local waveform-similarity overlap-add,12,22.062062117528875,1.542630753180997,159.25729835045078
noise,white_noise,noise / white_noise,wsola,WSOLA,local waveform-similarity overlap-add,-12,254.0173580044564,1.9685942905656653,2380.592276243027
noise,white_noise,noise / white_noise,wsola,WSOLA,local waveform-similarity overlap-add,3,106.94711209245865,1.7720302816514781,298.2722438649569
noise,white_noise,noise / white_noise,wsola,WSOLA,local waveform-similarity overlap-add,7,69.69377897834889,1.651872086605798,126.05577358168885
noise,white_noise,noise / white_noise,wsola,WSOLA,local waveform-similarity overlap-add,12,25.461455161334154,1.4912076174426707,104.18415334491377
transient,click_sequence,transient / click_sequence,wsola,WSOLA,local waveform-similarity overlap-add,-12,3.9365045725881522,0.6593476446818348,141.51577669858173
transient,click_sequence,transient / click_sequence,wsola,WSOLA,local waveform-similarity overlap-add,3,2.59756910166882,0.6804818137181307,110.32191059635723
transient,click_sequence,transient / click_sequence,wsola,WSOLA,local waveform-similarity overlap-add,7,2.3203909648308914,0.6796357918864708,167.09961921793197
transient,click_sequence,transient / click_sequence,wsola,WSOLA,local waveform-similarity overlap-add,12,2.0048459773211107,0.6998186318389268,232.43137483344043
transient,impulse_train,transient / impulse_train,wsola,WSOLA,local waveform-similarity overlap-add,-12,0.024555509569915323,0.33019448413623564,2552.667360953412
transient,impulse_train,transient / impulse_train,wsola,WSOLA,local waveform-similarity overlap-add,3,0.024897122901897238,0.22017642354425634,261.17827240295463
transient,impulse_train,transient / impulse_train,wsola,WSOLA,local waveform-similarity overlap-add,7,0.02517330178431594,0.22034944090792372,238.78913633937182
transient,impulse_train,transient / impulse_train,wsola,WSOLA,local waveform-similarity overlap-add,12,0.025620406253133336,0.22363021694308108,92.08715259340669
